"DISCOUNT_ID","DISCOUNT_CODE","DESCRIPTION","TAG","DISCOUNT_START_DATE","DISCOUNT_END_DATE","needsOffers?","CNT"
"42195","AC201DS12U","$5 CHSI Uptier from Starter or Essential Data for 12 mo.","","30-Apr-20","29-Jun-20",,"0","false"
"42207","BN201SD36","$79.99 CSHIULT, CSP and CHL Automation for 36 mo.","","30-Apr-20","29-Jun-20",,"0","false"
"42244","BR01BU24NU","$99.99 CONTV, CHSIULT + CDTPMR 12 mo.  ","","30-Apr-20","29-Jun-20",,"0","false"
"42245","BR01BU24NU","$109.99 CONTV, STB, CHSIULT + CDTPMR for 12 mo.","","30-Apr-20","29-Jun-20",,"0","false"
"42246","BR01BU24SU","$89.99 CONTV, CHSIULT + CDTPMR 12 mo. w/2yr SA","","30-Apr-20","29-Jun-20",,"0","false"
"42247","BR01BU24SU","$99.99 CONTV, STB, CHSIULT + CDTPMR 12 mo. w/2yr SA","","30-Apr-20","29-Jun-20",,"0","false"
"42249","BR01GH24NU","$139.99 Ultimate TV, CHSIULT and CHL Auto for 12 mo  ","","30-Apr-20","29-Jun-20",,"0","false"
"42251","BR01GH24NU","$149.99 Ultimate TV/STB/CHSIULT/CHL Auto for 12mo ","","30-Apr-20","29-Jun-20",,"0","false"
"42248","BR01GH24SU","$129.99 Ultimate TV, CHSIULT and CHL Auto for 12 mo w/2yr SA","","30-Apr-20","29-Jun-20",,"0","false"
"42250","BR01GH24SU","$139.99 Ultimate TV/STB/CHSIULT/CHL Auto for 12mo w/2yr SA","","30-Apr-20","29-Jun-20",,"0","false"
"42253","BR01GX24NU","$129.99 Ultimate TV, CHSIULT & CDTPMR for 12 mo  ","","30-Apr-20","29-Jun-20",,"0","false"
"42255","BR01GX24NU","$139.99 Ultimate TV, STB, CHSIULT & CDTPMR for 12mo  ","","30-Apr-20","29-Jun-20",,"0","false"
"42254","BR01GX24SU","$129.99 Ultimate TV, STB, CHSIULT & CDTPMR for 12mo w/2yr SA","","30-Apr-20","29-Jun-20",,"0","false"
"42252","BR01GX24SU","$119.99 Ultimate TV, CHSIULT & CDTPMR for 12 mo w/2yr SA","","30-Apr-20","29-Jun-20",,"0","false"
"42257","BR01SH24NU","$119.99 CONTV/4Pay/CHSIULT/CHL AUTO 12mo","","30-Apr-20","29-Jun-20",,"0","false"
"42259","BR01SH24NU","$129.99 CONTV/4Pay/STB/CHSIULT/CHL AUTO 12mo  ","","30-Apr-20","29-Jun-20",,"0","false"
"42256","BR01SH24SU","$109.99 CONTV/4Pay/CHSIULT/CHL AUTO 12mo w/2yr SA","","30-Apr-20","29-Jun-20",,"0","false"
